,Average Daily Returns,beta,alpha,Sharpe Ratio,net_income,operating_cashflow,roa,op_revenue_v_net_income_margin,current_ratio,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield,lt_debt_decreased_percent,percent_shares_outstanding,gross_margin
AMAG.JK,0.00027844237884043624,[0.049],[0.],0.2,107253266000.0,,0.022640979891140802,682780349000.0,0.5764577631108354,-14.351250524237482,21.5104954672234,14.132635878295773,0.0,,5.345625044962316,69.73684210526315,,,
AMAN.JK,8.348043636506459e-05,[0.088],[0.],0.03,33524128000.0,,0.03889611429835496,67076927000.0,0.2814498045438271,-27.069124210353028,8.654738306661901,12.9408881044721,0.10893972302787253,,5.4405114365024225,0.8928571428571428,36.425407674522,,
AMAR.JK,0.001009960334933899,[0.204],[0.001],0.34,8586126000.0,749906983000.0,0.0021158575893302327,583178848000.0,0.7370542706532993,-2.339861695982343,0.4672721616378004,535.0201028962305,0.010496502442490471,754558032000.0,0.804674635555849,1.466704,,8.922850092481776,
AMFG.JK,0.000913948424051494,[-0.103],[0.001],0.62,,,,4198776000000.0,0.6320066287708702,-20.64703666004723,-993.057603686636,-5.815372621447978,0.6285605479349192,,-14.710272277945839,22.753246753246753,,,
AMIN.JK,0.00044182357278625987,[-0.063],[0.],0.15,,,,,,,,0.0,0.0,,,20.915032679738562,,,
AMMN.JK,0.010567439092908243,,,4.79,86319000.0,,0.018139746595395745,916787000.0,0.5471321552168347,-22.782165565870706,0.0011903081333476007,7351037.73120634,1.5446048653011029,,4.1466027439375885,0.0,,,
AMMS.JK,-0.001953296104640731,,,-0.69,,,,,,,,0.0,0.0,,,0.0,,,
AMOR.JK,6.346378460439e-05,,,0.04,79566793815.0,,0.2365250683394341,200056173610.0,0.15114662347983593,-16.625529269608982,35.94712023592236,26.844987683760678,0.05412297176236737,,27.864066384356967,16.168831502590674,99.54991114508016,31.198612884110972,
AMRT.JK,0.0016876068905552755,[-0.002],[0.002],1.04,1061476000000.0,,0.04087199199499221,74765404000000.0,0.705964207493024,-10.691355906693113,25.562644705709324,113.83798638605113,0.250747500506056,,14.301551150455449,3.8615120274914094,,,
ANDI.JK,9.604256100440793e-05,[0.033],[0.],0.11,,,,270384680421.0,0.4768977753539229,-24.872764258995588,-1.0877255836028474,-31.257883893272616,0.6386342280599925,,-4.057005084306545,0.0,12.150418875227258,,
ANJT.JK,0.0007950965316355322,[-0.001],[0.001],0.45,2347918.0,,0.003716608870430564,161751726.0,0.38045238123278713,-38.62770724625803,0.0006999996784897713,1021429.0405712635,0.38829358788031754,,0.6026952641832664,29.342657342657347,,0.023451866652254853,
ANTM.JK,0.0014477180273946547,[0.06],[0.001],0.72,1149353000000.0,,0.03622346803747035,26223108000000.0,0.3999451236456103,-28.80208772942648,47.828328899663184,33.45297727956511,0.18429487510402098,,6.036699211762034,41.64448212500001,8.228300340316403,,
APEX.JK,0.001277105462999291,[-0.248],[0.001],0.36,44509502.0,,0.1323657340470005,10258004.0,0.6231910489262564,-15.943559323566085,0.01572773851125423,10491.018774373166,1.0488680488210425,,35.12807582458299,46.666666666666664,1.413365635774754,,
APIC.JK,0.0005241770370615473,[0.017],[0.001],0.56,101781652584.0,,0.020848727958759434,2160075669800.0,0.5983283117761883,6.321480282314727,726.8871949380107,1.5133022120355395,0.8108930620503555,,5.388001777420548,0.7498530909090909,9.700294505149232,,
APII.JK,0.0003380747106952893,[-0.17],[0.],0.18,,,,,,,,0.0,0.0,,,6.331575268817205,,,
APLI.JK,0.0027518650270915257,[0.19],[0.003],1.09,,,,,,,,0.0,0.0,,,3.3333333333333335,,,
APLN.JK,0.00047627535896416245,[0.082],[0.],0.26,,,,5093110805000.0,0.6263666696574334,16.448284679416194,-6.026005374330105,-19.415847270631843,0.868328748292162,,-1.600848572326366,17.094017094017094,,2.4083656987825592,
ARCI.JK,-0.0008934368375987798,,,-0.56,123333520.0,,0.20547494173069897,269970849.0,0.8428240343728891,13.70146658894657,0.004966117109355447,69269.40956586659,4.303851764318973,,130.75763793964583,0.0,,,
ARGO.JK,0.00027472525092486473,[-0.023],[0.],0.26,,,,129621682463.62633,,-18.805649823040174,-22.86936669197951,-42.85208301564794,-0.456569653645555,,5.778436244224677,0.0,3.825629767948581,,
ARII.JK,-6.640575546038686e-05,[-0.092],[-0.],-0.02,,,,56105000.0,0.9218019855765767,-63.44846719378554,-0.00406441263185007,-66430.26298171388,3.0194632655772553,,-46.31659359638634,0.0,100.0,2.5758240280991487,
ARKA.JK,-0.001980882557073677,[-0.179],[-0.002],-0.99,,,,113549282097.0,0.7972626568809089,14.529070349384757,-15.299810947,-2.2222496812398034,2.5263558591963142,,-33.42168150395064,0.0,,,
