,Average Daily Returns,beta,alpha,Sharpe Ratio,net_income,operating_cashflow,roa,op_revenue_v_net_income_margin,current_ratio,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield,lt_debt_decreased_percent,percent_shares_outstanding,gross_margin
BKDP.JK,0.0005912380287797273,[0.018],[0.001],0.23,,,,50591092150.0,0.3913676557783593,-16.422227822245656,-4.129943332941375,-12.106703644378976,0.3116201732969132,,-6.44687189152082,0.0,,,
BKSL.JK,6.112061098144509e-06,[0.019],[-0.],0.01,,,,1060631400766.0,0.4420570107716582,-50.38513354856815,-1702.8927938853146,-0.02114049699973333,0.25328618572334866,,-6.969803496736053,0.670436111111111,,1.782350646786305,
BKSW.JK,0.0010480574561471786,[-0.059],[0.001],0.37,,,,813428000000.0,0.7752481459418397,-32.268116192916246,-12.007736634932899,-4.330541348543708,0.12000777357686747,-4176897000000.0,-10.26562806235322,0.0,,,
BLTA.JK,0.0,[0.],[0.],,,,,19181980.0,0.5775140721806379,-6.619527030418001,-3.484280968793287e-05,-1061912.0653985098,0.9331376245963096,,-2.9272627801760147,286.034045945946,,,
BLTZ.JK,0.0003512738246226937,[-0.09],[0.],0.12,,,,701668401000.0,0.6727252439325141,-10.202448964915979,-815.4793765475846,-2.513858791474145,1.8437204063853054,,-55.984869310294414,0.0,8.127876940707749,,
BLUE.JK,-8.782540177203782e-05,[-0.046],[-0.],-0.06,,,,,,,,0.0,0.0,,,26.52777777777778,,,
BMAS.JK,0.0032082776466171694,[0.132],[0.003],1.0,66986471000.0,861393243000.0,0.006625423128311476,241971224000.0,0.8729776379207094,-12.999804169253048,3.737750698248391,143.13421177359828,0.006550254025133794,869587449000.0,5.215950183776077,2.214999626168224,100.0,,
BMBL.JK,-0.007345945748027371,,,-2.73,,,,,,,,0.0,0.0,,,0.0,,,
BMHS.JK,1.5732189917703147e-05,,,0.01,88791039353.0,,0.039522953061734374,1059353342359.0,0.5102114884499056,-39.27733159133364,10.320435708798753,33.525716332404016,1.0738658139239934,,8.732843005272665,1.1725780346820809,,,
BMRI.JK,0.0013362289113617884,[0.044],[0.001],1.18,16799515000000.0,109894642000000.0,0.010894877456675047,70293022000000.0,0.8672474890922705,-11.955925787507748,179.99486939812365,40.2789258618478,1.018590890563945,116599094000000.0,8.870868759396,25.366445544827588,5.184078212604047,,
BMSR.JK,0.0035036172955515647,[-0.233],[0.004],0.99,,,,2598708645904.0,0.8201878634573546,-21.51705603282141,-1.1009502734644583,-383.3052320083949,1.2252308219973707,,-1.0661993730482817,0.0,,,
BMTR.JK,0.000719733737416638,[-0.091],[0.001],0.42,912737000000.0,,0.02829178130257805,11151351000000.0,0.3557558592950868,-13.683967715291963,55.816359338028526,4.443141812565941,0.6284537406756245,,7.45963932344705,59.875,,5.9138359104344405,
BNBA.JK,0.002436919482237229,[0.021],[0.002],0.75,35053333152.0,642426485735.0,0.004589619837064214,269819576859.0,0.8023723318518889,-0.27354272512665007,10.346320292798111,61.85774090576845,0.02349129699620208,667095414996.0,2.3223569250559315,11.06601859375,94.58734417742959,,
BNBR.JK,-0.0014535445355828448,[0.023],[-0.001],-0.66,,,,3384412000000.0,0.8965416433538772,2.568230235761614,-47971.89190305132,-0.0010422770088169002,1.573240665023616,,-64.23828289683752,0.0,,90.95495227189234,
BNGA.JK,0.0011918920262559733,[0.038],[0.001],1.04,2012401000000.0,28624928000000.0,0.007163006967181189,14198335000000.0,0.8538744065735185,-8.5489378054953,28229.606181758845,0.07722388991060927,0.7260921410842517,29576625000000.0,4.9036379814790045,20.99308990825688,5.258892129659102,,
BNII.JK,0.0008262356074600636,[-0.041],[0.001],0.48,1266348000000.0,30522013000000.0,0.007311898747523205,8586672000000.0,0.8421068914270963,5.798833799206612,3262.5559768769886,0.07907910295748088,0.6350154037933045,30745060000000.0,4.697811198997126,24.00579069767442,,,
BNLI.JK,0.00014040118422968035,[-0.019],[0.],0.08,721587000000.0,1148905000000.0,0.0036494272174906685,8185310000000.0,0.8226260795508445,-9.330643319096712,26844.554728015417,0.03632021502604676,0.4016452496657181,1622106000000.0,2.0574773612822264,4.6534394871794875,,,
BOBA.JK,-0.0010015079393190555,,,-0.55,,,,,,,,0.0,0.0,,,8.728387096774194,,,
BOGA.JK,-0.00021305554984896725,[0.054],[-0.],-0.32,9743363290.0,,0.016371568578084666,468282439712.0,0.2654583470012398,-14.077188499897847,2.5616633314280715,435.2640670303899,0.613318945709126,,2.229304781788637,0.0,13.438354172560265,,
BOLA.JK,0.0006747076276568789,[-0.038],[0.001],0.27,5225575946.0,,0.009297103336486269,71192948960.0,0.14120699874272521,-60.12774538692548,0.8709293243333334,117.11627700454054,0.025531893942279893,,1.0955823533776432,0.9803921568627451,,,
BOLT.JK,0.0006481932397755328,[-0.015],[0.001],0.23,,,,844771257470.0,0.374453971963389,-33.2509557261429,-23.849885405946523,-35.010650398840426,0.45868045884638514,,-8.858115214394035,15.782035928143712,84.71330998766122,,
BOSS.JK,0.0005590843281249815,[-0.037],[0.001],0.18,,,,276674410286.0,0.8750489500553609,291.482243331268,-75.92028220857142,-0.6585855392718098,1.9498523728734494,,-121.65105099249675,0.0,,,
BPFI.JK,-0.00028550057115356943,[-0.001],[-0.],-0.14,41262495245.0,434322073484.0,0.02801935932547848,222393606356.0,0.41662454717894715,9.894374281136457,15.431001204251366,24.625751431819403,0.7005583018814547,436200234304.0,4.802971943708653,14.870003947368424,,,
BPII.JK,0.00014028762764623,[-0.008],[0.],0.15,94172498996.0,,0.03364616661115339,760984184457.0,0.5040617233545267,23.093504159610806,190.55235648957523,55.890151117510015,0.7541773912206687,,8.838311205874993,2.112676056338028,64.14282830513721,,
BPTR.JK,0.0019259308434190889,[-0.091],[0.002],0.53,,,,,,,,0.0,0.0,,,0.0,,,
BRAM.JK,0.00037960265220576134,[-0.019],[0.],0.19,,,,172387831.0,0.20936653095171273,-35.13706853321952,-0.00865565266009688,-649864.3396276303,0.034638363607059484,,-2.0133873715754804,71.73333333333333,,,
BREN.JK,0.02380265553263608,,,4.51,63705000.0,,0.01911858534772987,456938000.0,0.7475611461607672,-3.1113104387731174,0.0004761708947838442,11287964.171854643,4.7569746959371315,,15.249222637932396,0.07274418604651163,,,
BRIS.JK,0.00300772879151432,[-0.077],[0.003],1.27,2187649000000.0,12187412000000.0,0.009131125653913112,12361697000000.0,0.9092453180989032,-7.937300395298934,47.424284040703206,57.14371982240296,0.5529673003370947,13280711000000.0,10.061327374673718,1.0427121402214024,7.337311583975034,,
BRMS.JK,0.0021458915790988965,[-0.064],[0.002],0.84,3953683.0,,0.00672231157949698,4390012.0,0.1724744880743126,-21.124036797019695,0.00015462073309047597,970115.6953655616,0.08337769289799137,,0.5302177400941042,0.0,100.0,11.671809286468331,
BRNA.JK,0.0004724679733546832,[0.177],[0.],0.21,,,,1289095813000.0,0.609952544238776,6.861789794301792,-169.05787020362786,-5.648953218502728,1.0543138608320646,,-22.70839434388908,19.203289214659687,4.528648688499701,,
BRPT.JK,0.0004462500767703452,[0.003],[0.],0.21,42373000.0,,0.005510490583606378,2291797000.0,0.6147788254525806,-26.032178412349126,0.00045288783038249846,2086609.3911198168,3.2457350092330493,,3.1781641007639956,1.5969685714285715,7.46425874771228,,
BSBK.JK,-0.0016761567059423253,,,-0.56,,,,259916173207.0,,-36.78916282623578,-4.36061421838336,-11.466274587926478,-3.768694020214371,,97.87303314811582,0.0,,,
BSDE.JK,0.0005942719918544927,[-0.013],[0.001],0.46,281700888667.0,,0.004628447964385711,5898888197392.0,0.4336272603209252,-19.258670787179504,13.469875355189307,73.12614066770305,0.39287264966979835,,0.9352825821050816,8.15045157360406,,4.601523592158488,
BSIM.JK,0.0010749244441393847,[-0.038],[0.001],0.51,118522000000.0,2116579000000.0,0.002656726451342905,3754653000000.0,0.8642329890952096,14.607828429209857,6.011401654826592,158.033026995832,0.10408605359226686,2359536000000.0,1.956827681214837,0.0,24.669710314734758,,
BSML.JK,0.0020983713762898876,,,0.58,,,,,,,,0.0,0.0,,,1.6564417177914113,,,
BSSR.JK,0.0014787100675877304,[0.143],[0.001],0.77,30520185.0,,0.11589484433897825,300943780.0,0.27708163953969095,-52.0571147610662,0.011664508073099277,321488.0538895816,0.03272954844653533,,16.03161594095224,102.601564,13.423126996747731,,
BSWD.JK,0.0003499791457832499,[-0.01],[0.],1.16,,,,172271170159.0,0.7157843916912728,-1.420910639451247,-19.133646352126366,-160.97297625957808,0.0003721127048054931,-108013050660.0,-6.673306413202925,2.7604574025974027,30.061365032282026,,
BTEK.JK,0.0,[0.],[0.],,,,,1522537330856.0,0.6064207611344773,589.405126177364,-11.009840218137718,-3.088146542216668,1.569653873511202,,-30.649457600031493,0.037617647058823526,1.1168804987970884,,
BTEL.JK,0.0,[0.],[0.],,,,,118665000000.0,,-79.77931299174823,,0.0,0.0,,0.9566220963177817,0.0,,,
BTON.JK,0.0012436549206652032,[0.062],[0.001],0.69,,,,,,,,0.0,0.0,,,2.8683574879227054,,,
BTPN.JK,0.0002947755251192559,[0.022],[0.],0.36,1749293000000.0,18663821000000.0,0.009550316161880238,9940624000000.0,0.8200279693863235,-6.675003971729271,166.02693268188045,15.720341018411439,1.1543406220900954,19277210000000.0,5.5995324965445725,10.607217088122606,0.795154351676125,0.01598406859123757,
BTPS.JK,-0.0003925442359045185,[-0.055],[-0.],-0.23,854614000000.0,1111025000000.0,0.051999619105683265,2695508000000.0,0.6423031815323451,-17.468619392766595,110.9444543092432,12.213318894003608,0.009150245732893171,1241889000000.0,14.537344594912966,17.140221402214024,,0.00488620750620972,
BUAH.JK,0.0043262441311526295,,,2.36,27507289344.0,,0.13417436445963662,741707674798.0,0.8356842585442036,-24.691021387704577,27.507289344,52.89507016864133,0.08387797754228495,,81.65642760144908,0.9621993127147767,2.131750407691217,,
BUDI.JK,0.0017951786717407916,[-0.015],[0.002],0.96,62496000000.0,,0.021092086518864114,2663370000000.0,0.5537789819598806,-19.228382751834044,13.89108750101996,20.012831967229904,1.0436663873962224,,5.115905180246922,31.0431654676259,,,
BUKA.JK,-0.0023659800347966735,,,-1.12,,,,2700706042000.0,0.3800894269754715,-27.684537179769652,-13.084787637710374,-11.616543134558471,0.02412187658031581,,-84.46152142132446,0.0,,,
BUKK.JK,0.0008071598720087907,[0.008],[0.001],0.42,423605813000.0,,0.08512599470969741,3558294860000.0,0.42906038227948345,3.186472252923504,160.4293985113859,6.357936945874725,0.707185557657584,,14.962054796490861,1.254901960784314,,,
BULL.JK,-0.0004059312137366326,[-0.02],[-0.],-0.19,36003820.0,,0.04348262647164303,158424911.0,0.5772581096189184,8.599839047989153,0.0025502429672622892,40780.42811412789,0.4574870978257549,,10.567483635111383,0.0,,8.279896911444801,
BUMI.JK,0.0013804274472570593,[-0.039],[0.001],0.54,,,,1128460391.0,0.9613136701084802,-21.600255442060742,-0.000910328214327086,-92274.4112266066,-0.36338316937506393,,56.4490129421719,312.9404761904762,,7.767815169044678,
BUVA.JK,0.0002966830220392584,[-0.081],[0.],0.18,,,,969759497268.0,0.7972583619582116,10.555465811928496,-43.7995005592346,-1.210059460114679,1.3826656424016068,,-168.83748398007077,0.0,,,
BVIC.JK,0.0010402963197084045,[0.018],[0.001],0.42,,22083851000.0,,741101426000.0,0.899152047546504,-6.74352041108224,-16.073529243324714,-5.225983586329364,0.884422441861373,32231095000.0,-9.537051035924126,15.905090476190479,,2.996548836899846,
BWPT.JK,-0.00026806033536245914,[0.042],[-0.],-0.16,,,,3279767000000.0,0.7684308870452418,-25.173142095973983,-34.73707126307967,-1.5833228882037849,1.625610705361933,,-31.40275278524528,66.506,4.737296525131921,,
BYAN.JK,0.003559568921875557,[-0.007],[0.004],1.9,328738867.0,,0.20295967681852606,1066374401.0,0.4680863959635736,-51.086756869472374,0.009862176108868335,1926552.496148866,0.4773327460514064,,39.538416038808336,9.831905263157896,,,
CAKK.JK,0.0018380477825266919,[0.102],[0.002],0.74,,,,,,,,0.0,0.0,,,0.0,,,
CAMP.JK,0.0008920423693205337,[-0.079],[0.001],0.56,44045828312.0,,0.040525251152808146,912588645799.0,0.11515757606568415,-6.132579639368677,7.484422578588083,51.84100656074863,0.0,,4.579939891740141,17.8479381443299,,,
CANI.JK,-0.0001836166979313821,[-0.276],[-0.],-0.05,,,,,,,,0.0,0.0,,,0.0,,,
CARE.JK,-0.0002676100084542866,[-0.017],[-0.],-0.14,14312842564.0,,0.0041538618941695015,201983253007.0,0.04495896823026739,-25.654673978302895,0.43046141889643813,341.4940190850548,0.29046609163513865,,0.43506265047916415,0.0,88.41006012250791,,
CARS.JK,0.001030242585774609,[0.017],[0.001],0.72,,,,5145073661992.0,0.8368976757845841,-21.56461728644618,-66.11951289785397,-1.4821645790312648,2.941249527247146,,-148.91945847928326,8.46938775510204,5.9466566360111575,,
CASA.JK,0.0010064438835795343,[-0.019],[0.001],0.62,62874000000.0,,0.001858058942793009,11488132000000.0,0.7693241129588958,-25.94464129201819,1.1541532678908784,459.2111071768935,0.3086187019824298,,0.954060950100491,0.0,59.629201113846555,,
CASH.JK,-0.0007660623891764487,[0.156],[-0.001],-0.3,,,,,,,,0.0,0.0,,,0.0,,,
CASS.JK,0.0022348052586989354,[-0.055],[0.002],1.1,,,,1311068000000.0,0.694114977021836,-13.10754045059102,-42.23723583420984,-25.09633926236854,0.2484002901042164,,-25.510590945530215,8.718867924528304,,,
CBMF.JK,-0.0008092458493551293,[0.068],[-0.001],-0.31,,,,,,,,0.0,0.0,,,0.0,,,
CBPE.JK,-0.00023494523478706592,,,-0.14,,,,,,,,0.0,0.0,,,0.7299270072992701,,,
CBRE.JK,-0.0035601281402714803,,,-1.66,,,,,,,,0.0,0.0,,,0.0,,,
CBUT.JK,0.003765019401925722,,,1.18,,,,4509336000000.0,,-49.73020510322811,-49.53760101453007,-42.593907593165596,-6.6388364035169785,,73.8933068573447,0.0,,,
CCSI.JK,0.0012733488917156088,[-0.059],[0.001],0.7,,,,,,,,0.0,0.0,,,4.975124378109453,,,
CEKA.JK,1.6637613164420906e-05,[-0.007],[0.],0.02,181812593992.0,,0.11605006143251191,3452484679757.0,0.19529197955729183,-32.18886835011888,305.5673848605042,6.185215090487525,0.0,,14.421387445432352,41.48148148148148,,,
CENT.JK,0.00021301642601540598,[-0.061],[0.],0.09,,,,1605225000000.0,0.6760139690474158,-37.262762880508106,-16.328539516661216,-2.20472871828289,7.5522192498674015,,-20.600111905019098,7.247575,99.92571047997153,,
CFIN.JK,0.001307584661093978,[0.03],[0.001],0.77,46566702000.0,,0.0042653436000736605,1665402508000.0,0.5653575523347901,32.39423552153076,11.686904005491717,43.638588950533794,0.8492586527359146,,0.9813453846917197,37.66927450980392,,,
CGAS.JK,-0.022741243523795442,,,-2.02,,,,381199901222.0,0.4675701558331332,-2.6491320147336705,-2.128663711205851,-49.79649882787396,0.6667433309260644,,-4.744074830696958,0.0,66.92867209912318,,
CHEM.JK,0.00018290544526759788,,,0.06,,,,,,,,0.0,0.0,,,1.5125,,,
CHIP.JK,0.012055374136297994,,,3.66,,,,624754033.0,,-100.0,-0.7751290732009926,-3212.3682185177668,-63.6700756982465,,110.62409411780155,0.0927710843373494,92.2214126727461,,
CINT.JK,0.00022518109949654615,[0.156],[0.],0.11,,,,,,,,0.0,0.0,,,26.54135338345864,,,
CITA.JK,0.0006591417338641241,[-0.094],[0.001],0.34,649938571941.0,,0.15698913393637196,3694760902074.0,0.16573067422302978,-5.104698035247014,164.11098547710387,13.832102667598091,0.0674137603971193,,18.813517858594007,12.276211453744494,,2.0745847111800724,
CITY.JK,0.0013241037054951322,[0.041],[0.001],0.39,65602521380.0,,0.06884350041542676,82193684549.0,0.08453467934764539,88.07549952817878,12.136949789420767,4.11965121941781,0.005957480508282711,,7.520120176619183,0.0,,0.046396379770897354,
CLAY.JK,-0.002028672456625688,[0.009],[-0.002],-0.7,,,,116353893298.0,0.8152963896098477,75.16823495614172,-32.06056630574027,-11.228747382903963,3.36466846681272,,-72.87275061455574,0.0,,50.38910505836576,
CLEO.JK,0.0006608765132629363,[-0.017],[0.001],0.48,132772234495.0,,0.1012801670382348,839862549681.0,0.3174775140965641,-11.860681257419033,11.101356924005456,68.91049492749595,0.31693424273002396,,14.839096019550635,1.0,,,
CLPI.JK,0.0003920666602072824,[0.046],[0.],0.49,36218944787.0,,0.05587588601863924,736122786008.0,0.24390089822954356,-7.8498344388841605,118.23197474264242,8.542528382854846,0.12804625336236225,,7.390243612378068,79.36138613861385,,,
CMNP.JK,0.0004774327307929055,[0.028],[0.],0.29,448129359000.0,,0.027162773901344722,2140399053000.0,0.40542854017800606,-41.66814079470835,82.42460036991606,19.16903440124752,0.5364647989602603,,5.006805785877601,4.075783164556962,,30.322875816993466,
CMNT.JK,0.0007158541272183278,,,0.58,471342000000.0,,0.02475101531559065,6687528000000.0,0.856116101482198,-13.519934264775626,27.522817006346703,38.150164634596536,4.121942244765119,,19.604085172222327,0.0,0.20822801760271553,,
CMPP.JK,0.00020206761239754956,[0.011],[0.],0.09,,,,4365665876107.0,,157.3432770805679,-257.80689753134544,-0.3490984952761295,-2.5066949299714456,,94.99161130293402,15.428058888888888,,,
CMRY.JK,0.0005622306790976327,,,0.4,176999000000.0,,0.1628652296412712,1684964000000.0,0.32426282363896347,-54.538467154122294,22.307011571021295,219.6618755676586,0.0,,24.102812010621637,2.714489795918367,,,
CNKO.JK,0.0,[0.],[0.],,,,,1148134964000.0,,-9.767245634376993,-2291.822643478261,-0.014835353903476041,-0.5362072891149171,,25.901063721707757,0.0,,,
CNMA.JK,-0.0016764198431586522,,,-1.67,,,,1764737000000.0,0.31541752929844197,-4.780008530010483,-6.5480114041252415,-35.12516790289953,0.0,,-13.928223241949233,0.0,18.36037697154886,,
CNTX.JK,-5.4056088667080804e-05,[0.013],[-0.],-0.02,,,,,,,,0.0,0.0,,,56.42857142857143,,,
COAL.JK,-0.0013475358527814843,,,-0.37,,,,,,,,0.0,0.0,,,0.0,,,
COCO.JK,-0.0012403594208376485,[0.025],[-0.001],-0.54,,,,,,,,0.0,0.0,,,0.0,,,
COWL.JK,0.0,[0.],[0.],,,,,,,,,0.0,0.0,,,21.84,,,
CPIN.JK,3.273126714565823e-05,[0.146],[-0.],0.02,3842083000000.0,,0.12330457069770939,38676699000000.0,0.25063497112305927,-17.75585668288301,234.30192523535513,22.40698617702949,0.4104490324556634,,16.46628335598577,17.427047619047617,1.4835934000868891,,
CPRI.JK,0.0,[0.],[0.],,,,,,,,,0.0,0.0,,,0.0,,,
CPRO.JK,0.00044112806106135177,[0.063],[0.],0.24,380902000000.0,,0.06025444039990768,7192604000000.0,0.8854812554940957,-5.6622768239172565,9.411796675096365,5.524981233136082,2.9977073336429125,,52.799729418402045,0.0,97.22820787877308,,
CRAB.JK,0.0005486510112833735,,,0.37,,,,,,,,0.0,0.0,,,0.3731343283582089,,,
CRSN.JK,-0.001593173273177659,,,-0.74,,,,,,,,0.0,0.0,,,0.0,,,
CSAP.JK,0.001026508332783411,[0.07],[0.001],0.57,60477744000.0,,0.007940602814778545,12599069498000.0,0.7303728362276485,-11.076349644234753,10.641551495634076,54.03347437034027,2.0637202442188434,,3.1780798963576875,11.047037913043479,19.333885179672123,,
CSIS.JK,0.0005981230775845329,[0.089],[0.001],0.27,,,,,,,,0.0,0.0,,,0.0,,,
CSMI.JK,0.003362899354437211,[0.094],[0.003],1.84,,,,114938807138.0,0.752824643687243,25.707997304261454,-46.10217013335418,-62.03612523504259,1.3105042466618935,,-124.36248368033142,0.0,,,
CSRA.JK,0.001182215536263515,[-0.004],[0.001],0.67,,,,,,,,0.0,0.0,,,13.513513513513514,,,
CTBN.JK,0.0002584029709608592,[0.025],[0.],0.08,,,,129258581.0,0.23840875464328953,34.56402070029064,-0.0038279001795325247,-350061.3749451651,0.0075958803830471835,,-3.085525154035861,1.8633373134328355,,,
CTRA.JK,0.0011122125164036297,[0.008],[0.001],0.72,1320754000000.0,,0.03364533711175545,6749983000000.0,0.5552809874526901,-17.050087408068386,71.25460413136757,18.244435090864766,0.526618483790378,,8.614290201594978,10.082663538461539,16.22983337644616,,
CTTH.JK,-0.0010391546367649234,[0.03],[-0.001],-0.62,,,,144363181877.0,0.6688971476138712,9.890526006978838,-33.694234269741806,-0.47485869160612937,1.4701112370730993,,-18.056129193882224,0.0,0.7208469181179222,,
CUAN.JK,0.017486427962361446,,,4.14,,,,115601616675.0,0.5885637305818,-94.93111692947954,-8.468383111752617,-585.7080312198439,0.0010941116466063787,,-32.0492961695871,0.0,,,
CYBR.JK,0.0057867554358118625,,,1.4,,,,88905608140.0,,-37.86225854868676,-2.3856524269394246,-120.72169304624055,0.0,,45.82571952636084,0.0,,,
DADA.JK,-0.0026731254149632666,[0.184],[-0.003],-1.44,,,,,,,,0.0,0.0,,,0.0,,,
DART.JK,-0.0008005778339496905,[-0.053],[-0.001],-0.32,,,,724297123000.0,0.5621911337127796,11.549967680275081,-127.38504668608363,-1.012677730675062,1.1916656463491793,,-13.731990986046677,66.66666666666666,,,
DAYA.JK,0.0001798634383124677,[-0.192],[0.],0.06,,,,,,,,0.0,0.0,,,0.0,,,
DCII.JK,0.006703863520176885,,,2.19,183141000000.0,,0.07517202371472713,576224000000.0,0.7045042219898108,-12.840893439236032,76.82894959825583,462.3908069258113,1.576364586658962,,25.439288581691706,0.0,7.790588654625476,,
DEAL.JK,-0.0032089149132165456,[0.27],[-0.003],-1.37,,,,122041442776.0,0.7335100915876308,-17.31009430130207,-44.40840480690864,-0.13510955923970897,1.904119244666908,,-67.05698899157264,0.0,47.14798238394966,1.1710975482846795,
DEFI.JK,4.6014050590920495e-05,[0.075],[0.],0.03,,,,,,,,0.0,0.0,,,0.7455342268041238,,,
DEPO.JK,-0.0007553411517314105,,,-0.7,100834212363.0,,0.08417161307331023,2342537727179.0,0.505172658715898,4.888686510998202,14.850399184410737,26.127243798759597,0.09997658642762763,,17.52706364936407,2.4871134020618557,73.31267625133285,,
DEWA.JK,0.0005550499331502408,[-0.002],[0.001],0.29,23298352340.9649,,0.002978327579817712,4284025936043.705,0.5107502337046017,-6.662397992254965,1.066105613173914,59.09358249455423,0.41587791998456203,,0.6091911772025859,0.0,,,
DEWI.JK,-0.0007872855647445496,,,-0.25,,,,,,,,0.0,0.0,,,0.0,,,
DFAM.JK,-0.0007495631734381226,[-0.041],[-0.001],-0.22,,,,102047460963.0,0.7345303044958935,5.249928983410339,-6.825261309684544,-7.32572684492734,1.8313531435642607,,-15.479135178226269,0.0,1.1719962329466938,0.011253599547615794,
DGIK.JK,0.0011588294256704187,[0.16],[0.001],0.57,,,,493899476403.0,0.4163591396972542,30.6947807410471,-2.9111527049322707,-32.28961498334968,0.13534513877881943,,-2.318146829148856,19.20212765957447,,,
DGNS.JK,0.0007967026233969567,,,0.29,,,,,,,,0.0,0.0,,,1.5384615384615383,,,
DIGI.JK,-0.0026742611461019164,[-0.315],[-0.003],-0.99,,,,,,,,0.0,0.0,,,0.0,,,
DILD.JK,0.000317146704342483,[-0.026],[0.],0.2,76766474625.0,,0.004889001252390704,2814621921726.0,0.6147434391230554,9.995943550548878,7.405674016136658,25.791035303987037,0.9728320721996152,,1.4763082857921566,19.895287958115183,,,
DIVA.JK,-0.0009292154447562651,[-0.045],[-0.001],-0.36,65806444168.0,,0.05697700232768291,3622055405874.0,0.23634497678862604,-23.994793507392508,47.00493818950206,2.2763565727631794,0.14555280354898756,,7.854291899784354,0.0,,,
DKFT.JK,0.0005850333628450782,[0.08],[0.001],0.28,,,,1306859990909.0,0.7275159400488629,-18.12432440676563,-29.95833294295748,-3.538247612169561,1.224786696492876,,-24.563870881561062,113.20754716981132,,,
DLTA.JK,-0.0004064839639499073,[0.011],[-0.],-0.6,124038395000.0,,0.10120783840895212,422298016000.0,0.16782404802350248,-19.79862428796021,154.9203765406209,21.946757914756958,0.0,,12.203306193700854,102.82058823529412,,,
DMAS.JK,8.317802634608521e-05,[-0.035],[0.],0.08,1347650476293.0,,0.1995858893452921,1281649823896.0,0.18129943764963086,82.49691856089893,27.960656246189227,5.936913588093063,0.00019876318113102166,,24.39398315216789,118.67469879518073,,,
DMMX.JK,0.001167866259512164,[0.098],[0.001],0.44,31918591277.0,,0.039894910171491466,485279406462.0,0.14454311665000447,-55.043509227135935,4.396839248510157,27.97464111103853,0.055189628598013685,,4.666503653714396,0.0,,,
DMND.JK,-6.141989089598432e-05,[0.062],[-0.],-0.06,200434000000.0,,0.035283712850563614,5909721000000.0,0.18044487256537028,-12.383107547509091,21.168819813993377,36.610449085484504,0.07480211038588243,,4.316213677492266,0.0,,,
DNAR.JK,0.000698506941018056,[0.054],[0.001],0.23,7875055863.0,,0.0012549525102983562,255090100415.0,0.5981109595419069,-18.33259384962099,0.46618929471340304,248.825962576667,0.20162347958215818,-560719347596.0,0.3122634319333264,0.0,,24.181765354683986,
DNET.JK,0.00040716412626764077,[0.015],[0.],0.43,328828000000.0,,0.01895574389396571,160060000000.0,0.4085710828578516,-42.10314396289962,23.183023961485354,202.73455299913633,0.657909557105261,,3.287938054442338,0.0851063829787234,,,
DOID.JK,0.0017237057546945964,[0.05],[0.002],0.76,,,,625128327.0,0.7293534959724085,-33.91953281467956,-0.0031944134512744884,-128349.07135656488,4.51483295653239,,-8.886456193153176,4.05114780487805,47.78317691712301,0.20575948981785444,
DOOH.JK,0.0006206330070414994,,,0.15,2121590794.0,,0.11177572388266874,24859107136.0,0.8566133573109023,,0.27419377380616095,229.76451698913243,3.3519750302329983,,77.95407004893036,0.0,,,
DPNS.JK,0.000895665269486086,[-0.],[0.001],0.55,,,,,,,,0.0,0.0,,,29.567307692307693,,,
DPUM.JK,-0.0008331955114333686,[-0.012],[-0.001],-0.4,,,,512048496577.0,0.5243748024762165,-21.127204105075865,-90.02965188372463,-0.21104158021780356,1.0573470047411995,,-53.6784554821487,0.0,3.3713010155818512,,
DRMA.JK,0.002393866048689623,,,1.13,18905959594.0,,0.011676241650234669,1855733976758.0,0.6713160725484812,-35.65153168596682,4.017518367845934,266.33356764805535,1.005508234624351,,3.713845784395235,3.3560747663551402,,,
DSFI.JK,0.0002553005711693594,[0.038],[0.],0.13,,,,,,,,0.0,0.0,,,0.0,,,
DSNG.JK,0.0007729713569718337,[-0.012],[0.001],0.46,476637000000.0,,0.03368130167913624,6222281000000.0,0.5597074151692453,-5.973433906543551,44.96660395796034,14.455172123020244,0.9109967342636678,,7.785971343772956,17.153846153846153,,,
DSSA.JK,0.002559648511304645,[0.05],[0.003],1.27,,,,1591144057.0,0.4521434571626284,-30.376003490022846,-0.10878166431337534,-1130705.2597178956,0.34430739472158184,,-6.168013038164247,0.0,7.538307876409581,,
DUCK.JK,-0.0007876853543794674,[0.019],[-0.001],-0.42,,,,,,,,0.0,0.0,,,0.0,,,
DUTI.JK,0.00020336426867715394,[-0.032],[0.],0.13,533728203352.0,,0.03880636657498837,1191069331894.0,0.24890913265752906,-20.800317788634224,288.5017315416216,15.7711358461763,0.0002922397347085693,,6.284275900871974,17.47252747252747,96.5262164267164,,
DVLA.JK,-0.00018286384302891576,[-0.068],[-0.],-0.17,162072984000.0,,0.08171408253663633,1667626573000.0,0.3254192258725204,-3.745293525376388,144.70802142857144,10.089281752225897,0.0011802508445429344,,12.113313285918572,75.37671232876713,,,
DWGL.JK,-0.00015979064351036903,[-0.157],[-0.],-0.06,35565346000.0,,0.05054247564744321,1532930768000.0,,-31.73168752353943,3.84373046519865,28.3578676982926,-8.612474482529196,,-67.68519733521032,0.0,26.813953462683404,5.766720603778353,
