,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
AMIN.JK,0.00044182357278625987,"{'beta': array([-0.063]), 'alpha': array([0.])}",0.15,,,,0.0,0.0,,,27.2108843537415
AMMN.JK,0.010567439092908243,,4.79,,-22.782165565870706,0.0011903081333476007,7035993.257011782,1.2884448714499828,,4.1466027439375885,0.0
AMMS.JK,-0.001953296104640731,,-0.69,,,,0.0,0.0,,,0.0
AMOR.JK,6.346378460439e-05,,0.04,,-16.625529269608982,35.94712023592236,26.844987683760678,0.05412297176236737,,27.864066384356967,18.2413703626943
AMRT.JK,0.0016876068905552755,"{'beta': array([-0.002]), 'alpha': array([0.002])}",1.04,,-10.691355906693113,25.562644705709324,109.14363643198716,0.25156694509265837,,14.301551150455449,4.027598566308244
ANDI.JK,9.604256100440793e-05,"{'beta': array([0.033]), 'alpha': array([0.])}",0.11,,-24.872764258995588,-1.0877255836028474,-45.9674763136362,0.6386342280599925,,-4.057005084306545,0.0
ANJT.JK,0.0007950965316355322,"{'beta': array([-0.001]), 'alpha': array([0.001])}",0.45,,-38.62770724625803,0.0006999996784897713,1014286.1801476883,0.38829358788031754,,0.6026952641832664,29.549295774647888
ANTM.JK,0.0014477180273946547,"{'beta': array([0.06]), 'alpha': array([0.001])}",0.72,,-28.80208772942648,47.828328899663184,32.721193401574624,0.18429487510402098,,6.036699211762034,42.57582837060704
APEX.JK,0.001277105462999291,"{'beta': array([-0.248]), 'alpha': array([0.001])}",0.36,,-15.943559323566085,0.01572773851125423,10618.182638304961,1.0488680488210425,,35.12807582458299,46.10778443113773
APIC.JK,0.0005241770370615473,"{'beta': array([0.017]), 'alpha': array([0.001])}",0.56,,6.321480282314727,726.8871949380107,1.485787626362166,0.8108930620503555,,5.388001777420548,0.7637392592592592
APII.JK,0.0003380747106952893,"{'beta': array([-0.17]), 'alpha': array([0.])}",0.18,,,,0.0,0.0,,,6.231074074074074
APLI.JK,0.0027518650270915257,"{'beta': array([0.19]), 'alpha': array([0.003])}",1.09,,,,0.0,0.0,,,3.4482758620689653
APLN.JK,0.00047627535896416245,"{'beta': array([0.082]), 'alpha': array([0.])}",0.26,,16.448284679416194,-6.026005374330105,-19.58179468320135,0.868328748292162,,-1.600848572326366,16.94915254237288
ARCI.JK,-0.0008934368375987798,,-0.56,,13.70146658894657,0.004966117109355447,71283.05519278132,4.303851764318973,,130.75763793964583,0.0
