,tickers,open,bookValue,margin
160,BRNA.JK,955.0,606.567,-348.433
729,RSGK.JK,1160.0,799.975,-360.025
62,ASII.JK,5275.0,4906.684,-368.3159999999998
797,SSMS.JK,1025.0,651.308,-373.692
16,AGII.JK,1605.0,1224.231,-380.769
319,GHON.JK,1885.0,1419.961,-465.039
663,PNGO.JK,1555.0,1033.143,-521.857
751,SHID.JK,1235.0,684.681,-550.319
439,JSPT.JK,1505.0,890.441,-614.559
116,BFIN.JK,1320.0,631.615,-688.385
899,WIIM.JK,1555.0,861.261,-693.739
698,PTSP.JK,1250.0,551.792,-698.208
84,BALI.JK,1350.0,639.242,-710.758
587,MTMH.JK,1290.0,547.963,-742.037
42,ANTM.JK,1640.0,846.6,-793.4
524,MASB.JK,3400.0,2589.891,-810.1089999999999
605,NFCX.JK,1665.0,804.651,-860.349
501,LPGI.JK,3660.0,2798.06,-861.94
128,BISI.JK,2080.0,1148.513,-931.4870000000001
689,PTBA.JK,2970.0,1865.948,-1104.052
24,AKRA.JK,1705.0,570.63,-1134.37
203,CITA.JK,2270.0,1132.483,-1137.517
519,MAPB.JK,1910.0,724.443,-1185.557
520,MAPI.JK,1805.0,578.656,-1226.344
872,ULTJ.JK,1865.0,611.967,-1253.033
682,PRDA.JK,3900.0,2515.392,-1384.6080000000002
780,SMSM.JK,1955.0,545.427,-1409.5729999999999
755,SILO.JK,2380.0,583.293,-1796.7069999999999
438,JSMR.JK,5675.0,3842.923,-1832.0770000000002
594,MYOR.JK,2570.0,672.646,-1897.354
158,BRIS.JK,2740.0,839.795,-1900.205
96,BBNI.JK,5950.0,4029.627,-1920.373
546,MFIN.JK,3190.0,1258.66,-1931.34
167,BSWD.JK,3070.0,999.428,-2070.572
838,TLKM.JK,3470.0,1370.29,-2099.71
57,ARTO.JK,2740.0,603.106,-2136.8940000000002
248,DLTA.JK,3400.0,1116.763,-2283.237
544,MERK.JK,4030.0,1661.322,-2368.678
10,ADMF.JK,13700.0,11112.186,-2587.8140000000003
408,INTP.JK,8750.0,6111.647,-2638.353
878,UNTR.JK,24625.0,21821.232,-2803.768
713,RDTX.JK,14350.0,11147.702,-3202.2980000000007
541,MEGA.JK,5175.0,1852.958,-3322.042
269,EDGE.JK,4210.0,685.546,-3524.4539999999997
218,CPIN.JK,5175.0,1647.304,-3527.696
123,BINA.JK,4200.0,571.221,-3628.779
99,BBSI.JK,4600.0,860.115,-3739.885
253,DNET.JK,4650.0,898.158,-3751.842
211,CMRY.JK,4740.0,748.764,-3991.236
97,BBRI.JK,6100.0,2057.853,-4042.147
293,FAPA.JK,5300.0,1053.537,-4246.463
829,TGKA.JK,6550.0,2199.003,-4350.996999999999
140,BMRI.JK,7150.0,2794.851,-4355.148999999999
635,PANI.JK,5450.0,827.616,-4622.384
8,ADES.JK,9100.0,2757.626,-6342.374
561,MLBI.JK,7050.0,592.876,-6457.124
802,STTP.JK,10800.0,3502.347,-7297.653
419,ISAT.JK,11275.0,3813.359,-7461.641
373,ICBP.JK,11025.0,3494.297,-7530.7029999999995
154,BPII.JK,10650.0,2965.267,-7684.733
91,BBCA.JK,10025.0,1965.98,-8059.02
776,SMMA.JK,14600.0,3597.947,-11002.053
559,MKPI.JK,27225.0,7009.234,-20215.766
235,DCII.JK,35500.0,880.802,-34619.198
263,DUTI.JK,,5551.511,
806,SUPR.JK,,4700.712,
372,IBST.JK,,4657.806,
491,LIFE.JK,,3543.32,
2,ABDA.JK,,2382.333,
295,FASW.JK,,1760.887,
95,BBMD.JK,,1182.287,
498,LMSH.JK,,1114.766,
785,SONA.JK,,891.805,
900,WIKA.JK,,788.199,
325,GMTD.JK,,638.397,
